layer,bits,group_size,numel,mse,nmse,max_abs_error,mean_scale
model.layers.22.mlp.up_proj,4,128,3145728,1.6221549837306764e-05,0.014677456950868356,0.044189453125,0.013662743382155895
model.layers.22.mlp.down_proj,4,128,3145728,1.5407291357405484e-05,0.015164724403830968,0.0450613871216774,0.01314601767808199
model.layers.23.self_attn.q_proj,4,128,2097152,1.388436066918075e-05,0.015105205738029644,0.02734375,0.011854252777993679
model.layers.23.self_attn.k_proj,4,128,1048576,9.945414603862446e-06,0.01563678718517019,0.0200544074177742,0.010227857157588005
model.layers.23.self_attn.v_proj,4,128,1048576,1.3002431842323858e-05,0.016461137942268573,0.0211704783141613,0.01202505361288786
model.layers.23.self_attn.o_proj,4,128,2097152,9.841858627623878e-06,0.014328548452854818,0.0194091796875,0.010556304827332497
model.layers.23.mlp.gate_proj,4,128,3145728,1.2538861483335495e-05,0.014436896949121827,0.0356096550822258,0.01192170474678278
model.layers.23.mlp.up_proj,4,128,3145728,1.6753874660935253e-05,0.014522836520025542,0.05126953125,0.01393286231905222
model.layers.23.mlp.down_proj,4,128,3145728,1.6010623464050393e-05,0.014849021144392485,0.049560546875,0.013342649675905704
model.layers.24.self_attn.q_proj,4,128,2097152,1.650259582675062e-05,0.015447119039812154,0.0313197523355484,0.01251058280467987
model.layers.24.self_attn.k_proj,4,128,1048576,9.973428859666456e-06,0.015561402870040162,0.0175083726644516,0.0100810956209898
model.layers.24.self_attn.v_proj,4,128,1048576,1.233562761626672e-05,0.01587079598840989,0.01443045400083065,0.011857638135552406
model.layers.24.self_attn.o_proj,4,128,2097152,9.940124982676934e-06,0.014232755103333508,0.0177699513733387,0.010624481365084648
model.layers.24.mlp.gate_proj,4,128,3145728,1.2183239353665462e-05,0.014425942291210974,0.042724609375,0.011772416532039642
model.layers.24.mlp.up_proj,4,128,3145728,1.7006374643339466e-05,0.01436636131152584,0.03271484375,0.014071417041122913
model.layers.24.mlp.down_proj,4,128,3145728,1.621215536336725e-05,0.01462889894462719,0.0345284566283226,0.013483614660799503
model.layers.25.self_attn.q_proj,4,128,2097152,1.6836163922562264e-05,0.015390194169028327,0.0280412957072258,0.012501043267548084
model.layers.25.self_attn.k_proj,4,128,1048576,8.654257726448122e-06,0.015380162482230664,0.01441301591694355,0.00946663599461317
model.layers.25.self_attn.v_proj,4,128,1048576,1.4875643501000013e-05,0.015731939278334765,0.015625,0.013028524816036224
model.layers.25.self_attn.o_proj,4,128,2097152,1.0909142474702094e-05,0.014103725668847999,0.0169328972697258,0.011140808463096619
model.layers.25.mlp.gate_proj,4,128,3145728,1.1688001298656067e-05,0.014551242151104985,0.0359235480427742,0.011522729881107807
model.layers.25.mlp.up_proj,4,128,3145728,1.7255821148864925e-05,0.014416102449840987,0.0472935289144516,0.01413775235414505
model.layers.25.mlp.down_proj,4,128,3145728,1.595398740998159e-05,0.014558801667970285,0.0428641214966774,0.013497994281351566
model.layers.26.self_attn.q_proj,4,128,2097152,1.9252154743298888e-05,0.015041601289227487,0.0244838148355484,0.013246568851172924
model.layers.26.self_attn.k_proj,4,128,1048576,8.196324415621348e-06,0.015064649675634305,0.016845703125,0.00924081914126873
model.layers.26.self_attn.v_proj,4,128,1048576,1.3064007362117991e-05,0.014954559383485895,0.01318359375,0.012255804613232613
model.layers.26.self_attn.o_proj,4,128,2097152,1.0759536053228658e-05,0.01422940349793407,0.02783203125,0.010794853791594505
model.layers.26.mlp.gate_proj,4,128,3145728,1.1637649246646712e-05,0.01486657641461527,0.07470703125,0.011345605365931988
model.layers.26.mlp.up_proj,4,128,3145728,1.6856897370113682e-05,0.014428529760443305,0.0777762234210968,0.013904626481235027
model.layers.26.mlp.down_proj,4,128,3145728,1.5058443144274255e-05,0.014969710353385705,0.0443987175822258,0.0130990045145154
model.layers.27.self_attn.q_proj,4,128,2097152,1.3494496670318767e-05,0.014323535710064566,0.0302036814391613,0.012030094861984253
model.layers.27.self_attn.k_proj,4,128,1048576,1.1789037671405822e-05,0.01447927467696283,0.0478515625,0.011452085338532925
model.layers.27.self_attn.v_proj,4,128,1048576,1.5056888514664024e-05,0.014421634343594279,0.0186767578125,0.01327914372086525
model.layers.27.self_attn.o_proj,4,128,2097152,1.1694334716594312e-05,0.013816836700904245,0.0216064453125,0.011646738275885582
model.layers.27.mlp.gate_proj,4,128,3145728,1.3656790542881936e-05,0.014549014839521014,0.0813336968421936,0.011852256022393703
model.layers.27.mlp.up_proj,4,128,3145728,1.570878885104321e-05,0.014691749334863047,0.0855189710855484,0.013069335371255875
model.layers.27.mlp.down_proj,4,128,3145728,1.2242312853535017e-05,0.016819958277725672,0.03955078125,0.011744738556444645
