layer,bits,group_size,numel,mse,nmse,max_abs_error,mean_scale
model.layers.0.self_attn.q_proj,8,128,2097152,4.608816794871018e-08,4.691979955449035e-05,0.0025221407413482666,0.000693856505677104
model.layers.0.self_attn.k_proj,8,128,1048576,4.069025649755531e-08,4.336298976695356e-05,0.0016859155148267746,0.0006644484819844365
model.layers.0.self_attn.v_proj,8,128,1048576,3.143667015592655e-08,4.433301977931045e-05,0.0006711464375257492,0.0006051401724107563
model.layers.0.self_attn.o_proj,8,128,2097152,2.840097224066085e-08,4.264910055939824e-05,0.0016493909060955048,0.000548971991520375
model.layers.0.mlp.gate_proj,8,128,3145728,5.853211367442176e-08,4.362528797899613e-05,0.0015109777450561523,0.0008085584850050509
model.layers.0.mlp.up_proj,8,128,3145728,2.9655680577889143e-08,4.436298376993101e-05,0.001456674188375473,0.0005886780563741922
model.layers.0.mlp.down_proj,8,128,3145728,3.219241288358413e-08,4.6754265413776765e-05,0.0016320906579494476,0.0006102428305894136
model.layers.1.self_attn.q_proj,8,128,2097152,4.1960745988944836e-08,4.441677770364936e-05,0.002516377717256546,0.0006565326475538313
model.layers.1.self_attn.k_proj,8,128,1048576,3.729613951009014e-08,4.448920286128069e-05,0.0013533532619476318,0.0006290829041972756
model.layers.1.self_attn.v_proj,8,128,1048576,3.548498028749236e-08,4.391795112170811e-05,0.000776633620262146,0.0006425479659810662
model.layers.1.self_attn.o_proj,8,128,2097152,3.107905754973217e-08,4.321291062115022e-05,0.0011188164353370667,0.0005925242439843714
model.layers.1.mlp.gate_proj,8,128,3145728,8.098656204917158e-08,4.227114267241093e-05,0.0017070621252059937,0.0009592006099410355
model.layers.1.mlp.up_proj,8,128,3145728,2.4079341187643877e-08,4.404865011798608e-05,0.0011534206569194794,0.0005234788404777646
model.layers.1.mlp.down_proj,8,128,3145728,2.5825966550504138e-08,4.9860706522514274e-05,0.0014744549989700317,0.0005450780154205859
model.layers.2.self_attn.q_proj,8,128,2097152,4.0957701230581733e-08,4.534260227915143e-05,0.002021368592977524,0.0006474042311310768
model.layers.2.self_attn.k_proj,8,128,1048576,3.463867770392426e-08,4.400555465167625e-05,0.001010684296488762,0.000603378051891923
model.layers.2.self_attn.v_proj,8,128,1048576,3.439735252186438e-08,4.418840198623269e-05,0.0007151216268539429,0.0006253289175219834
model.layers.2.self_attn.o_proj,8,128,2097152,2.874371674010945e-08,4.340172599016915e-05,0.0012303143739700317,0.0005651121027767658
model.layers.2.mlp.gate_proj,8,128,3145728,6.803515854395907e-08,4.309004766667166e-05,0.0015840306878089905,0.0008731710258871317
model.layers.2.mlp.up_proj,8,128,3145728,2.4897168771076394e-08,4.4448166839324466e-05,0.002068467438220978,0.0005354320746846497
model.layers.2.mlp.down_proj,8,128,3145728,2.83221150236083e-08,5.045330890538361e-05,0.002276092767715454,0.0005642101750709116
model.layers.3.self_attn.q_proj,8,128,2097152,4.1047975685160054e-08,4.519888905789406e-05,0.0016705375164747238,0.0006496266578324139
model.layers.3.self_attn.k_proj,8,128,1048576,3.992279573594715e-08,4.8194327029846515e-05,0.0021568983793258667,0.0006309993914328516
model.layers.3.self_attn.v_proj,8,128,1048576,4.116186147484768e-08,4.546230601570802e-05,0.0014994442462921143,0.000684273021761328
model.layers.3.self_attn.o_proj,8,128,2097152,3.386593405707572e-08,4.338004009359178e-05,0.0011293888092041016,0.0006150710396468639
model.layers.3.mlp.gate_proj,8,128,3145728,6.796229475488265e-08,4.278854437030655e-05,0.0018723830580711365,0.0008772145956754684
model.layers.3.mlp.up_proj,8,128,3145728,2.6656586271656124e-08,4.403924630747545e-05,0.0011745663359761238,0.0005545050953514874
model.layers.3.mlp.down_proj,8,128,3145728,2.708751623003991e-08,4.7110158300458924e-05,0.0015436606481671333,0.0005592596717178822
model.layers.4.self_attn.q_proj,8,128,2097152,3.8152577985783864e-08,4.418268969443527e-05,0.0021222978830337524,0.0006381875718943775
model.layers.4.self_attn.k_proj,8,128,1048576,3.5637505391150626e-08,4.479275276224089e-05,0.001476377248764038,0.0006105267093516886
model.layers.4.self_attn.v_proj,8,128,1048576,3.9163985832146864e-08,4.476846489964189e-05,0.0007948987185955048,0.0006720440578646958
model.layers.4.self_attn.o_proj,8,128,2097152,3.206792342780318e-08,4.3828421275516534e-05,0.0014283191412687302,0.0005983098526485264
model.layers.4.mlp.gate_proj,8,128,3145728,6.158522107095148e-08,4.221323693932785e-05,0.0016282452270388603,0.0008352005970664322
model.layers.4.mlp.up_proj,8,128,3145728,2.7085135911875113e-08,4.3739413011351636e-05,0.0010400041937828064,0.0005600613658316433
model.layers.4.mlp.down_proj,8,128,3145728,2.838631019130844e-08,4.861195225250712e-05,0.0015263594686985016,0.0005721544730477035
model.layers.5.self_attn.q_proj,8,128,2097152,4.15659222596787e-08,4.467486451146601e-05,0.001676306128501892,0.0006640725187025964
model.layers.5.self_attn.k_proj,8,128,1048576,3.3842226798697084e-08,4.3530607936808166e-05,0.0015897974371910095,0.0006072541000321507
